num_units,hidden_layers,batch_size,lr,epochs,fold_splits,optName,alpha
300,2,128,1E-05,10,10,Wame,0.85
300,2,128,1E-05,20,10,Wame,0.85
300,2,128,1E-05,50,10,Wame,0.85
300,2,128,1E-05,100,10,Wame,0.85
300,2,128,1E-05,200,10,Wame,0.85
300,2,256,1E-05,10,10,Wame,0.85
300,2,256,1E-05,20,10,Wame,0.85
300,2,256,1E-05,50,10,Wame,0.85
300,2,256,1E-05,100,10,Wame,0.85
300,2,256,1E-05,200,10,Wame,0.85
300,2,512,1E-05,10,10,Wame,0.85
300,2,512,1E-05,20,10,Wame,0.85
300,2,512,1E-05,50,10,Wame,0.85
300,2,512,1E-05,100,10,Wame,0.85
300,2,512,1E-05,200,10,Wame,0.85
300,2,1024,1E-05,10,10,Wame,0.85
300,2,1024,1E-05,20,10,Wame,0.85
300,2,1024,1E-05,50,10,Wame,0.85
300,2,1024,1E-05,100,10,Wame,0.85
300,2,1024,1E-05,200,10,Wame,0.85
300,2,2048,1E-05,10,10,Wame,0.85
300,2,2048,1E-05,20,10,Wame,0.85
300,2,2048,1E-05,50,10,Wame,0.85
300,2,2048,1E-05,100,10,Wame,0.85
300,2,2048,1E-05,200,10,Wame,0.85
