num_units,hidden_layers,batch_size,lr,epochs,fold_splits,optName,alpha
50,1,1024,1E-05,20,10,Wame,0.85
100,1,1024,1E-05,20,10,Wame,0.85
150,1,1024,1E-05,20,10,Wame,0.85
200,1,1024,1E-05,20,10,Wame,0.85
250,1,1024,1E-05,20,10,Wame,0.85
300,1,1024,1E-05,20,10,Wame,0.85
350,1,1024,1E-05,20,10,Wame,0.85
400,1,1024,1E-05,20,10,Wame,0.85
50,2,1024,1E-05,20,10,Wame,0.85
100,2,1024,1E-05,20,10,Wame,0.85
150,2,1024,1E-05,20,10,Wame,0.85
200,2,1024,1E-05,20,10,Wame,0.85
250,2,1024,1E-05,20,10,Wame,0.85
300,2,1024,1E-05,20,10,Wame,0.85
350,2,1024,1E-05,20,10,Wame,0.85
400,2,1024,1E-05,20,10,Wame,0.85
100,3,1024,1E-05,20,10,Wame,0.85
150,3,1024,1E-05,20,10,Wame,0.85
200,3,1024,1E-05,20,10,Wame,0.85
250,3,1024,1E-05,20,10,Wame,0.85
300,3,1024,1E-05,20,10,Wame,0.85
350,3,1024,1E-05,20,10,Wame,0.85
400,3,1024,1E-05,20,10,Wame,0.85
150,4,1024,1E-05,20,10,Wame,0.85
200,4,1024,1E-05,20,10,Wame,0.85
250,4,1024,1E-05,20,10,Wame,0.85
300,4,1024,1E-05,20,10,Wame,0.85
350,4,1024,1E-05,20,10,Wame,0.85
400,4,1024,1E-05,20,10,Wame,0.85
400,5,1024,1E-05,20,10,Wame,0.85
